STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
33,001,965100,3417,+43.647487,-071.595911
33,001,965200,2982,+43.660494,-071.477782
33,001,965300,3680,+43.627659,-071.521325
33,001,965400,3026,+43.523397,-071.583026
33,001,965598,3962,+43.460563,-071.577650
33,001,965600,3945,+43.424418,-071.371481
33,001,965700,4915,+43.361649,-071.249331
33,001,965801,3239,+43.481914,-071.496343
33,001,965802,4075,+43.461452,-071.461859
33,001,965900,4092,+43.523880,-071.460913
33,001,966000,5052,+43.533434,-071.480121
33,001,966100,4493,+43.559493,-071.472390
33,001,966200,3234,+43.565402,-071.455966
33,001,966401,1460,+43.583767,-071.399455
33,001,966403,3957,+43.556454,-071.402345
33,001,966404,2282,+43.528411,-071.399503
33,001,966501,3082,+43.454867,-071.249386
33,001,966502,2812,+43.488680,-071.223048
33,003,955101,2062,+44.140589,-071.209388
33,003,955102,2366,+44.092102,-071.182390
33,003,955301,2779,+44.061508,-071.083840
33,003,955302,2970,+44.016117,-071.124191
33,003,955401,2311,+43.972303,-071.118977
33,003,955402,2103,+43.985231,-071.046242
33,003,955500,2970,+43.904266,-071.139217
33,003,955601,2749,+43.828496,-071.346919
33,003,955602,2288,+43.900950,-071.227672
33,003,955801,1691,+43.747245,-071.049343
33,003,955802,1689,+43.815293,-071.075262
33,003,955901,2191,+43.776563,-071.167230
33,003,955902,2181,+43.704576,-071.117313
33,003,956000,5956,+43.583761,-071.020192
33,003,956101,3472,+43.601282,-071.221640
33,003,956102,2944,+43.588270,-071.166434
33,003,956301,2239,+43.701716,-071.417336
33,003,956302,2679,+43.728363,-071.374880
33,003,956400,2467,+43.667465,-071.261275
33,005,970100,4185,+43.089484,-072.295834
33,005,970200,3633,+43.091405,-072.420654
33,005,970401,2516,+42.914409,-072.068158
33,005,970402,2881,+43.033784,-072.146598
33,005,970500,5320,+42.817122,-072.027849
33,005,970600,6476,+42.756346,-072.020676
33,005,970700,3548,+42.761046,-072.187402
33,005,970800,4226,+42.862635,-072.191597
33,005,970901,4355,+42.871036,-072.269276
33,005,970902,2915,+42.867032,-072.330977
33,005,971000,5900,+42.958927,-072.308559
33,005,971100,5120,+42.936713,-072.268184
33,005,971300,3606,+42.939688,-072.282423
33,005,971402,3962,+42.940458,-072.318534
33,005,971403,4459,+42.923793,-072.280518
33,005,971500,5258,+42.923575,-072.448580
33,005,971600,3948,+42.803657,-072.501998
33,005,971700,4150,+42.776815,-072.388144
33,007,950100,1907,+45.025829,-071.421214
33,007,950200,2743,+44.882609,-071.470366
33,007,950300,2040,+44.619547,-071.202103
33,007,950400,3267,+44.615838,-071.516744
33,007,950500,3218,+44.486208,-071.560635
33,007,950600,4135,+44.478783,-071.164531
33,007,950700,3089,+44.485112,-071.176484
33,007,950800,2201,+44.469242,-071.194193
33,007,950900,3053,+44.397352,-071.182106
33,007,951000,2192,+44.357446,-071.468021
33,007,951100,3423,+44.380102,-071.624743
33,009,960101,2912,+44.323032,-071.761419
33,009,960102,3093,+44.305490,-071.791589
33,009,960200,4214,+44.254947,-071.718228
33,009,960300,4885,+44.217919,-071.930964
33,009,960401,2708,+43.900995,-071.642121
33,009,960402,2141,+44.030944,-071.620099
33,009,960500,2633,+43.996300,-071.784212
33,009,960600,4585,+44.097801,-072.016049
33,009,960700,2851,+43.911298,-072.030693
33,009,960801,3343,+43.831475,-071.657241
33,009,960802,1591,+43.814728,-071.814805
33,009,960900,3285,+43.772371,-072.008710
33,009,961001,3338,+43.766747,-071.695342
33,009,961002,3344,+43.748570,-071.705490
33,009,961101,1938,+43.708213,-071.635500
33,009,961102,2004,+43.748095,-071.610208
33,009,961201,2939,+43.601698,-071.730583
33,009,961202,1465,+43.656822,-071.721603
33,009,961300,3438,+43.599190,-071.879419
33,009,961400,3794,+43.669807,-072.043628
33,009,961500,4465,+43.614219,-072.124087
33,009,961601,2792,+43.719420,-072.208663
33,009,961603,5896,+43.709699,-072.282995
33,009,961604,3182,+43.697909,-072.283310
33,009,961701,4672,+43.658148,-072.247459
33,009,961702,3596,+43.653187,-072.303197
33,009,961801,2102,+43.622848,-072.251020
