trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
B-1,06:46:00,06:46:00,11234870,0,"",0,,0,1
B-1,06:47:00,06:47:00,11234871,1,"",0,,424.28945295208433,0
B-1,06:48:00,06:48:00,11234872,2,"",0,,933.7158880478626,0
B-1,06:50:00,06:50:00,11234873,3,"",0,,1444.2203477281723,0
B-1,06:51:00,06:51:00,11234874,4,"",0,,1994.118716892253,0
B-1,06:53:00,06:53:00,11234875,5,"",0,,2293.529175003883,0
B-1,06:54:00,06:54:00,11234876,6,"",0,,3044.8948005976868,0
B-1,06:56:00,06:56:00,11234877,7,"",0,,3289.0810453997237,1
B-1,06:57:00,06:57:00,11234878,8,"",0,,3677.9711863917855,0
B-1,06:58:00,06:58:00,11234879,9,"",0,,4051.3839221261273,0
B-1,07:00:00,07:00:00,11234880,10,"",0,,4327.417095592541,0
B-1,07:01:00,07:01:00,11234881,11,"",0,,4730.8189065293645,0
B-1,07:02:00,07:02:00,11234882,12,"",0,,5058.129797490163,0
B-1,07:04:00,07:04:00,11234883,13,"",0,,5854.404152262911,1
B-1,07:05:00,07:05:00,11234884,14,"",0,,6701.241283728899,0
B-1,07:06:00,07:06:00,11234885,15,"",0,,7273.956214791039,0
B-1,07:07:00,07:07:00,11234886,16,"",0,,7764.286793568965,1
B-1,07:08:00,07:08:00,11234887,17,"",0,,8103.046147778927,0
B-1,07:09:00,07:09:00,11234888,18,"",0,,8676.569352886281,0
B-1,07:10:00,07:10:00,11234889,19,"",0,,9562.64979829067,0
B-1,07:11:00,07:11:00,11234890,20,"",0,,10240.185927755063,0
B-1,07:12:00,07:12:00,11234891,21,"",0,,10467.698867051102,0
B-1,07:13:00,07:13:00,11234892,22,"",0,,10739.501200644443,0
B-1,07:15:00,07:15:00,11234893,23,"",0,,11161.839743418248,1
B-10,12:46:00,12:46:00,11234870,0,"",0,,0,1
B-10,12:47:00,12:47:00,11234871,1,"",0,,424.28945295208433,0
B-10,12:48:00,12:48:00,11234872,2,"",0,,933.7158880478626,0
B-10,12:50:00,12:50:00,11234873,3,"",0,,1444.2203477281723,0
B-10,12:51:00,12:51:00,11234874,4,"",0,,1994.118716892253,0
B-10,12:53:00,12:53:00,11234875,5,"",0,,2293.529175003883,0
B-10,12:54:00,12:54:00,11234876,6,"",0,,3044.8948005976868,0
B-10,12:56:00,12:56:00,11234877,7,"",0,,3289.0810453997237,1
B-10,12:57:00,12:57:00,11234878,8,"",0,,3677.9711863917855,0
B-10,12:58:00,12:58:00,11234879,9,"",0,,4051.3839221261273,0
B-10,13:00:00,13:00:00,11234880,10,"",0,,4327.417095592541,0
B-10,13:01:00,13:01:00,11234881,11,"",0,,4730.8189065293645,0
B-10,13:02:00,13:02:00,11234882,12,"",0,,5058.129797490163,0
B-10,13:04:00,13:04:00,11234883,13,"",0,,5854.404152262911,1
B-10,13:05:00,13:05:00,11234884,14,"",0,,6701.241283728899,0
B-10,13:06:00,13:06:00,11234885,15,"",0,,7273.956214791039,0
