stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
11234870,70,"MSU SUB (Strand Union Building)","",45.665555,-111.047656,,,0,,,0,,
11234871,71,"6th & Garfield (Northbound)","",45.666994,-111.045341,,,0,,,0,,
11234872,782408,"Garfield & Willson","",45.667147,-111.039127,,,0,,,0,,
11234873,782462,"Willson & College (Northbound)","",45.671581,-111.038747,,,0,,,0,,
11234874,782464,"Willson & Curtiss (Northbound)","",45.67643,-111.038635,,,0,,,0,,
11234875,782363,"Babcock & Tracy","",45.678186,-111.037512,,,0,,,0,,
11234876,782435,"Mendenhall & Bozeman (BYEP)","",45.680485,-111.033157,,,0,,,0,,
11234877,782434,"Mendenhall & Black (Downtown Transfer Station)","",45.680372,-111.036227,,,0,,,0,,
11234878,782431,"Mendenhall & 3rd","",45.680401,-111.041132,,,0,,,0,,
11234879,782432,"Mendenhall & 7th","",45.680403,-111.045851,,,0,,,0,,
11234880,2740152,"7th & Beall (Northbound)","",45.682491,-111.046089,,,0,,,0,,
11234881,2740153,"7th & Peach (Verizon)","",45.68608,-111.046011,,,0,,,0,,
11234882,782350,"7th @ M View Plaza","",45.688923,-111.046014,,,0,,,0,,
11234883,782460,"Walmart (Lawn & Garden door)","",45.693436,-111.042592,,,0,,,0,,
11234884,782447,"Oak @ Days Inn","",45.693117,-111.049722,,,0,,,0,,
11234885,782444,"15th & Oak (Northbound)","",45.693242,-111.056768,,,0,,,0,,
11234886,4230344,"Tschache @ Family Promise (Northbound)","",45.696712,-111.057576,,,0,,,0,,
11234887,782342,"Tschache & 19th (Northbound)","",45.696761,-111.061877,,,0,,,0,,
11234888,782335,"19th & Baxter (Town Pump)","",45.700827,-111.065303,,,0,,,0,,
11234889,782373,"Cattail @ City Brew (driveway)","",45.707744,-111.06714,,,0,,,0,,
11234890,2335555,"27th & Cattail","",45.709636,-111.073898,,,0,,,0,,
11234891,782344,"27th & Catron (Social Security Office)","",45.71167,-111.073877,,,0,,,0,,
11234892,782372,"Catron @ Target (driveway)","",45.712122,-111.070777,,,0,,,0,,
11234893,782403,"Gallatin Center (Staples Lot)","",45.709689,-111.06943,,,0,,,0,,
11235016,2740157,"Cattail (Across from City Brew)","",45.707539,-111.066931,,,0,,,0,,
11235017,2484476,"Baxter & 19th (Southbound)","",45.700389,-111.066715,,,0,,,0,,
11235018,2484474,"27th & Baxter","",45.70007,-111.072513,,,0,,,0,,
11235019,2332194,"Tschache & 27th","",45.696586,-111.071804,,,0,,,0,,
11235020,2332195,"Tschache & 19th (IHOP)","",45.696528,-111.063095,,,0,,,0,,
11235021,782370,"Tschache & 19th (Chase Bank)","",45.696597,-111.061752,,,0,,,0,,
11235022,4230345,"Tschache (Across from Family Promise)","",45.696557,-111.058046,,,0,,,0,,
11235023,4230346,"15th & Oak (Southbound)","",45.693712,-111.056944,,,0,,,0,,
11235024,2740159,"Oak & 15th (at pullout)","",45.692893,-111.056277,,,0,,,0,,
11235025,2740160,"Oak @ Oak Street Townhomes","",45.692869,-111.050514,,,0,,,0,,
11235026,2740161,"7th & Tamarack (U-Haul)","",45.687858,-111.046474,,,0,,,0,,
11235027,2740162,"7th & Durston","",45.685176,-111.046478,,,0,,,0,,
11235028,2740163,"7th & Beall (Southbound)","",45.681833,-111.0464,,,0,,,0,,
11235029,2740164,"5th & Main","",45.67873,-111.043982,,,0,,,0,,
11235030,782359,"Babcock & 3rd (Emerson)","",45.678233,-111.04146,,,0,,,0,,
11235031,782465,"Willson & Curtiss (Southbound)","",45.676171,-111.038878,,,0,,,0,,
11235032,782463,"Willson & College (Southbound)","",45.671037,-111.038974,,,0,,,0,,
11235033,782409,"Grant & Willson","",45.665298,-111.039506,,,0,,,0,,
11235824,782368,"Bozeman Health ER Entrance","",45.668879,-111.018885,,,0,,,0,,
11235825,782453,"Ace Hardware","",45.655375,-110.57195,,,0,,,0,,
11237059,782385,"Highland & Ellis","",45.672037,-111.017049,,,0,,,0,,
11237060,2751352,"Highland @ Town & Country East Main","",45.677044,-111.018727,,,0,,,0,,
11237061,4230348,"Main @ Jackpot Casino","",45.679493,-111.024131,,,0,,,0,,
11237062,2751353,"Main (across from Bozeman Public Library)","",45.679496,-111.027238,,,0,,,0,,
11237063,782433,"Mendenhall & 9th","",45.680405,-111.049193,,,0,,,0,,
11237064,782369,"Main @ Bozeman High School","",45.679447,-111.052811,,,0,,,0,,
11237065,782429,"Main @ Hobby Lobby","",45.679462,-111.059206,,,0,,,0,,
11237066,782424,"Main & Babcock (Pizza Hut)","",45.677985,-111.067517,,,0,,,0,,
11237067,782405,"Gallatin Valley Mall","",45.673365,-111.07972,,,0,,,0,,
11237068,2751401,"Huffine & Fowler (Bridger Orthopedics)","",45.671276,-111.084026,,,0,,,0,,
11237069,2751402,"Cottonwood @ Alpine Orthopedics","",45.673188,-111.103977,,,0,,,0,,
11237070,782387,"Fallon & Cottonwood","",45.674843,-111.103651,,,0,,,0,,
11237361,782389,"Fallon & Resort","",45.674796,-111.099528,,,0,,,0,,
11237362,2751403,"Ravalli & Eagle Creek Drive","",45.675897,-111.095067,,,0,,,0,,
